iter,elapsed_time,obj,gradnorm,eval,grad,L
0,0,1.1437010813676607,0.04803496522462595,0,1,0.001
1,0.05877120798686519,0.7830809263846361,0.04248505964288186,0,4,0.0036000000000000003
2,0.1048085409856867,0.7045134735328588,0.040060409380545656,0,7,0.012960000000000001
3,0.15074816599371843,0.6821971909162384,0.026874946539209913,0,10,0.046656
4,0.16596916600246914,0.6677671329289374,0.025353543734485184,0,11,0.041990400000000004
5,0.1810422069975175,0.6529435100344239,0.02461171108087422,0,12,0.03779136
6,0.19678820698754862,0.6373402033315969,0.023977797945510415,0,13,0.034012224
7,0.21249670698307455,0.6209326648106587,0.023428069629109042,0,14,0.0306110016
8,0.22727858199505135,0.6037592397646709,0.023112776604783024,0,15,0.02754990144
9,0.24338770701433532,0.586086728032286,0.023842248961337322,0,16,0.024794911296
10,0.2586247480066959,0.5693902498947526,0.029687861951564434,0,17,0.0223154201664
11,0.29163620600593276,0.5584017563125788,0.026289983087360438,0,19,0.040167756299520005
12,0.3071491229929961,0.547759035447381,0.02584185805871145,0,20,0.036150980669568004
13,0.32215545600047335,0.5372400101869148,0.027901923621775227,0,21,0.032535882602611206
14,0.3523115809948649,0.5289577718565571,0.020243974098247745,0,23,0.05856458868470017
15,0.36779212299734354,0.5222672074979984,0.019521989418886283,0,24,0.05270812981623016
16,0.3832447069871705,0.5151352123352264,0.019195516359153043,0,25,0.04743731683460715
17,0.3977824989706278,0.5074448798407178,0.018894878668739297,0,26,0.042693585151146435
18,0.413398665987188,0.4991638796167366,0.018582354817324332,0,27,0.038424226636031796
19,0.4279765829851385,0.4902719624752039,0.01825319094508124,0,28,0.03458180397242862
20,0.442988290975336,0.480755024073766,0.017914278789515715,0,29,0.031123623575185756
21,0.45814037398668006,0.4706123573862186,0.017607094772376125,0,30,0.028011261217667182
22,0.47306291497079656,0.459885640155278,0.017563260257607884,0,31,0.025210135095900463
23,0.48770553997019306,0.44891465230251687,0.019340883923467937,0,32,0.022689121586310416
24,0.5247627899516374,0.44274554130371857,0.018709941617683135,0,34,0.04084041885535875
25,0.541373872954864,0.43631804987018713,0.019108666295188342,0,35,0.036756376969822875
26,0.5601647479634266,0.4297915912854062,0.021257590098862005,0,36,0.03308073927284059
27,0.5934295399638359,0.42497423811114815,0.016449530892090183,0,38,0.05954533069111306
28,0.6084120399900712,0.4207205443741382,0.015783132031535575,0,39,0.05359079762200176
29,0.6244494989805389,0.4161754532094598,0.01552221393062417,0,40,0.048231717859801584
30,0.64042754098773,0.41125124625386944,0.015318744912706005,0,41,0.04340854607382143
31,0.6553897909761872,0.4059178102543595,0.015126258430917893,0,42,0.039067691466439285
32,0.6720182909921277,0.40015500234152007,0.014952204052683634,0,43,0.035160922319795354
33,0.6878505409695208,0.39395603506953564,0.01487077014273907,0,44,0.03164483008781582
34,0.7118134569609538,0.3873639724697579,0.015252832700941577,0,45,0.02848034707903424
35,0.7310832909424789,0.3807469406198332,0.018112272358913935,0,46,0.025632312371130818
36,0.7620438329468016,0.3766308168710878,0.01662766645890244,0,48,0.04613816226803547
37,0.7776336669339798,0.3724366059304481,0.01650888887350285,0,49,0.041524346041231924
38,0.7937486669397913,0.3681117273211306,0.01763381605429813,0,50,0.03737191143710873
39,0.8258922089298721,0.36500252768038266,0.013808846995633953,0,52,0.06726944058679572
40,0.8404732929484453,0.36225512820455047,0.013475682148261192,0,53,0.06054249652811615
41,0.8547812099568546,0.3592822666248632,0.013335805404691295,0,54,0.054488246875304534
42,0.8698799599369522,0.3560384221491257,0.013208928604786157,0,55,0.04903942218777408
43,0.8859713759447914,0.3525017586390878,0.013076012503352125,0,56,0.04413547996899667
44,0.9011485009395983,0.34865258624751166,0.012934132431518218,0,57,0.03972193197209701
45,0.9166304179525468,0.34447222259100946,0.01278513646957511,0,58,0.03574973877488731
46,0.9357082929345779,0.3399438331346387,0.012641943361132366,0,59,0.03217476489739858
47,0.9510686259309296,0.33505972450742466,0.012578154238121725,0,60,0.028957288407658724
48,0.9665565849281847,0.3298668353268252,0.013071766937655901,0,61,0.026061559566892854
49,0.9826140019285958,0.32489430980103834,0.017405916672435382,0,62,0.023455403610203568
50,1.0290952099312562,0.32254336725586263,0.01196068370829534,0,65,0.08443945299673285
51,1.044936459918972,0.3208548517452332,0.011890502295405558,0,66,0.07599550769705957
52,1.0598308769112919,0.3189998589849071,0.011821432934012187,0,67,0.06839595692735362
53,1.077734834922012,0.3169632173470929,0.011745760244586269,0,68,0.06155636123461826
54,1.0966755439294502,0.31472990344261076,0.011662793274014724,0,69,0.055400725111156436
55,1.1126995849481318,0.31228427059004193,0.011571942416731944,0,70,0.04986065260004079
56,1.128364375937963,0.3096101423869348,0.01147260858130308,0,71,0.044874587340036715
57,1.149299666954903,0.3066909585935902,0.011364179835289848,0,72,0.040387128606033044
58,1.1653687919606455,0.30350996009342235,0.011246038341934522,0,73,0.03634841574542974
59,1.1804327499412466,0.30005042260587844,0.01111757249408219,0,74,0.032713574170886765
60,1.19485770794563,0.2962959332314396,0.010978188329965506,0,75,0.02944221675379809
61,1.2101076249382459,0.2922307347623515,0.010827390811573195,0,76,0.026497995078418282
62,1.2247211659268942,0.2878401362705596,0.010665248027176222,0,77,0.023848195570576453
63,1.2400789989333134,0.28311164748904505,0.010498782435184366,0,78,0.021463376013518807
64,1.2553415409347508,0.27804513730402936,0.010439203653329236,0,79,0.019317038412166927
65,1.271349999908125,0.272852497337949,0.012454881707608632,0,80,0.017385334570950234
66,1.318592833908042,0.2711884710624402,0.010620690138732526,0,83,0.06258720445542085
67,1.335038125893334,0.269546788597368,0.010226604153600804,0,84,0.05632848400987876
68,1.350723417912377,0.2677747134557895,0.010086524171964107,0,85,0.050695635608890885
69,1.3668694599182345,0.26584135707669454,0.010027349220211486,0,86,0.0456260720480018
70,1.3827717099047732,0.26373371900850945,0.010056121359772404,0,87,0.04106346484320162
71,1.398536792898085,0.26145462355922494,0.010339056036579112,0,88,0.036957118358881456
72,1.4134848768881056,0.25907129008657753,0.011612326928158646,0,89,0.03326140652299331
73,1.4436141268815845,0.25755110220750893,0.010229847685580815,0,91,0.059870531741387956
74,1.462987418868579,0.2560051431155409,0.009871311326323675,0,92,0.05388347856724916
