iter,elapsed_time,obj,gradnorm,eval,grad,L,iter_inner
0,0,1.1437010813676607,0.04803496522462595,0,1,0.001,0
1,0.10263254100573249,0.7830809263846361,0.04248505964288186,0,5,0.0036000000000000003,1
2,0.18348279100609943,0.7045134735328588,0.040060409380545656,0,9,0.012960000000000001,2
3,0.24254687401116826,0.6684542080342801,0.026975736204976272,0,13,0.046656,3
4,0.2738082490104716,0.6447817574310394,0.026179865142296595,0,15,0.041990400000000004,4
5,0.30429595700115897,0.6205339249187861,0.027961503962564492,0,17,0.03779136,5
6,0.34866662399144843,0.5976546324145602,0.02233667642070397,0,20,0.068024448,6
7,0.3776479990046937,0.5773628553263686,0.02156817759763842,0,22,0.0612220032,7
8,0.4064294569834601,0.5567059145051204,0.020703095644731384,0,24,0.05509980288,8
9,0.43506270699435845,0.5351026248863011,0.019869626564378434,0,26,0.049589822592,9
10,0.4631056239886675,0.5122616096712533,0.019037266831875614,0,28,0.0446308403328,10
11,0.4960382489662152,0.4881341265002492,0.018359484273953425,0,30,0.040167756299520005,11
12,0.5274335399735719,0.4630818498251476,0.01919707631701285,0,32,0.036150980669568004,12
13,0.5725145399628673,0.4398497936377911,0.01664153502429082,0,35,0.06507176520522241,13
14,0.6003484559478238,0.4187039217406121,0.016285398105880255,0,37,0.05856458868470017,14
15,0.6296764139551669,0.3986257282602241,0.01628852532377402,0,39,0.05270812981623016,15
16,0.6739868309523445,0.38061667413171457,0.014078048115623347,0,42,0.0948746336692143,16
17,0.703549164958531,0.36455709718388796,0.013278693200786217,0,44,0.08538717030229287,17
18,0.7347617899649777,0.3497136247302183,0.012716497018792981,0,46,0.07684845327206359,18
19,0.7653632069705054,0.33567164976413627,0.012186784527912813,0,48,0.06916360794485724,19
20,0.7949256229621824,0.3221457723540361,0.011682360127349401,0,50,0.06224724715037151,20
21,0.8262631229590625,0.3089252915140211,0.011195568223690567,0,52,0.056022522435334364,21
22,0.856930580950575,0.29585726058538986,0.010720694088020578,0,54,0.050420270191800926,22
23,0.8881519979622681,0.28284282970244473,0.010323677619004401,0,56,0.04537824317262083,23
24,0.9255039979761932,0.26986197413161445,0.010495704834369441,0,58,0.04084041885535875,24
25,0.9704603729769588,0.25778547340154007,0.0096598097110955,0,61,0.07351275393964575,25
26,0.9994005809712689,0.2465681889649157,0.009683628085330652,0,63,0.06616147854568118,26
27,1.0288648719724733,0.23603261149576457,0.010581226767308176,0,65,0.05954533069111306,27
28,1.0738270379661117,0.22622509774908756,0.008246300649395659,0,68,0.10718159524400352,28
29,1.1048993719741702,0.21740131708966046,0.007840324735945845,0,70,0.09646343571960317,29
30,1.1364825799537357,0.20922968780265255,0.0075504767504833035,0,72,0.08681709214764285,30
31,1.167670537950471,0.20156386036888732,0.007278785268988339,0,74,0.07813538293287857,31
32,1.1978254549612757,0.1942881306075159,0.007025772730212429,0,76,0.07032184463959071,32
33,1.2275990799535066,0.18730516743663117,0.0067831252825398414,0,78,0.06328966017563165,33
34,1.2576472879736684,0.18053461249661643,0.006559376352226673,0,80,0.05696069415806848,34
35,1.286881370964693,0.1739104370446483,0.006377624355218238,0,82,0.051264624742261636,35
36,1.317520745942602,0.16740366726441555,0.006717294348212196,0,84,0.04613816226803547,36
37,1.3598380789335351,0.16126742624249113,0.006167975919339139,0,87,0.08304869208246385,37
38,1.387052411941113,0.15551213414914933,0.0063777940555686755,0,89,0.07474382287421746,38
39,1.4311216619389597,0.15018477991173002,0.005666362577208075,0,92,0.13453888117359145,39
40,1.4594149119511712,0.14527472438560698,0.005338855483430915,0,94,0.1210849930562323,40
41,1.4869579119549599,0.14070207601928097,0.005188061710830373,0,96,0.10897649375060907,41
42,1.5149687869707122,0.13640015715021325,0.0050472373167837065,0,98,0.09807884437554816,42
43,1.5431262869678903,0.1323170810376626,0.00491436705037582,0,100,0.08827095993799335,43
44,1.570977036957629,0.12840703755973712,0.0047872073823233595,0,102,0.07944386394419402,44
45,1.5989498289709445,0.12462950757253168,0.0046642669473733024,0,104,0.07149947754977462,45
46,1.6268021209689323,0.12094859847532234,0.004543317720632779,0,106,0.06434952979479716,46
47,1.655457786982879,0.11733276769637692,0.0044249706728528675,0,108,0.05791457681531745,47
48,1.6844694959872868,0.1137544591503057,0.004310735990359939,0,110,0.05212311913378571,48
49,1.7122101210115943,0.11019309603447769,0.004299271015830472,0,112,0.046910807220407136,49
50,1.7404887460288592,0.10667366665715562,0.0055707656023227595,0,114,0.042219726498366424,50
51,1.7967519120429642,0.10331304745857242,0.004387081294102856,0,118,0.15199101539411913,51
52,1.8265266620437615,0.10019964916502674,0.0038392189491437867,0,120,0.13679191385470724,52
53,1.8559417030483019,0.0972898425889848,0.0037431252318861612,0,122,0.12311272246923652,53
54,1.8870188280416187,0.09454226702455176,0.0036525315484278354,0,124,0.11080145022231287,54
55,1.918533786025364,0.09193220017164602,0.0035680422256148085,0,126,0.09972130520008159,55
56,1.9474183690326754,0.08943692152160815,0.003487871202398237,0,128,0.08974917468007343,56
57,1.976226036058506,0.08703554052554525,0.0034114375096691305,0,130,0.08077425721206609,57
58,2.0041707030613907,0.08470872559663117,0.003337390065083832,0,132,0.07269683149085948,58
59,2.033022536052158,0.08243863106870296,0.0032661844450919877,0,134,0.06542714834177353,59
60,2.06132836904726,0.0802087885198537,0.0031986904755271096,0,136,0.05888443350759618,60
61,2.090242994047003,0.07800523719254902,0.0031851397015219057,0,138,0.052995990156836564,61
62,2.1176954520342406,0.07582787675699387,0.0037580954621521095,0,140,0.047696391141152907,62
63,2.1732329100195784,0.07376226022571161,0.0032983466829300274,0,144,0.17170700810815046,63
64,2.2008156180090737,0.0718223112318694,0.0029211154410363907,0,146,0.15453630729733542,64
65,2.2288409520115238,0.06999723883384408,0.002862635637153817,0,148,0.13908267656760187,65
66,2.257466534996638,0.06826594835514678,0.0028062124218323574,0,150,0.1251744089108417,66
67,2.2857934509811457,0.0666155805903894,0.0027554621331320876,0,152,0.11265696801975753,67
68,2.313374783989275,0.06503388683799508,0.002707124766571731,0,154,0.10139127121778177,68
69,2.3413446179765742,0.06350933520456054,0.0026607067166340074,0,156,0.0912521440960036,69
70,2.369894575967919,0.06203097420043861,0.002615511676022409,0,158,0.08212692968640324,70
71,2.3972710759553593,0.060588393501869196,0.0025710522001672685,0,160,0.07391423671776291,71
72,2.4256799089489505,0.05917169608866748,0.002526547917946875,0,162,0.06652281304598662,72
73,2.4553266169677954,0.05777154628215884,0.0024832807014538976,0,164,0.059870531741387956,73
74,2.486709491960937,0.05637931895759395,0.0024520442582465414,0,166,0.05388347856724916,74
75,2.5160856169532053,0.054990221168533235,0.002623826644329072,0,168,0.04849513071052425,75
76,2.558612449967768,0.053645534828133196,0.002578552977994766,0,171,0.08729123527894365,76
77,2.5996700339892413,0.052368854171658756,0.00237964126192111,0,174,0.1571242235020986,77
78,2.6280455749947578,0.051156578177039363,0.002258373039331174,0,176,0.14141180115188873,78
79,2.6562041159777436,0.050001181165625866,0.0022209447376697914,0,178,0.12727062103669987,79
80,2.6866961989726406,0.04889419418785152,0.0021856972219271185,0,180,0.11454355893302988,80
81,2.7161793239647523,0.04782875368066308,0.002152138193489891,0,182,0.10308920303972689,81
82,2.7446357819717377,0.046798217053878134,0.0021198467408842544,0,184,0.0927802827357542,82
83,2.7750961979909334,0.045796133800604544,0.0020884004042447963,0,186,0.08350225446217878,83
84,2.804615072993329,0.04481622977749797,0.0020573105448445164,0,188,0.07515202901596091,84
85,2.836691947974032,0.04385241013678788,0.002026125076244245,0,190,0.06763682611436482,85
86,2.8707303229894023,0.042898775846643505,0.001994340937173928,0,192,0.06087314350292834,86
87,2.9076395309821237,0.041949675558485965,0.001962805095327383,0,194,0.05478582915263551,87
88,2.9400132809823845,0.04099990493631122,0.0019451820463802587,0,196,0.04930724623737196,88
89,2.971567030996084,0.04004836379980283,0.00221507814268132,0,198,0.04437652161363476,89
90,3.0329316970019136,0.03913624425187443,0.001918322244308473,0,202,0.15975547780908514,90
91,3.0630571130022872,0.038270162542400725,0.001825446178597783,0,204,0.14377993002817663,91
92,3.09327248801128,0.03744340495409576,0.0017958607993355151,0,206,0.12940193702535896,92
93,3.1238626550184563,0.03665079883143148,0.0017681012919826809,0,208,0.11646174332282307,93
94,3.1542553630133625,0.03588807208108863,0.001741791344229166,0,210,0.10481556899054076,94
95,3.185321155033307,0.035151030915715115,0.0017166223531051503,0,212,0.09433401209148669,95
96,3.2179688210308086,0.03443554406202685,0.0016922780682433584,0,214,0.08490061088233802,96
97,3.2498469870188273,0.03373753414297513,0.0016683986945270392,0,216,0.07641054979410422,97
98,3.28151602903381,0.03305297903876746,0.0016446504903726126,0,218,0.0687694948146938,98
99,3.311252029030584,0.032377922242212656,0.0016207207452147523,0,220,0.06189254533322442,99
100,3.3410741120169405,0.03170851183999697,0.0015980423378670577,0,222,0.05570329079990198,100
101,3.3727411120198667,0.031041238254984595,0.0015990444075244237,0,224,0.05013296171991179,101
102,3.4038580290216487,0.030377425642536416,0.002017619256689993,0,226,0.04511966554792061,102
103,3.462309862021357,0.029736510824270916,0.0016152269398264643,0,230,0.1624307959725142,103
104,3.490615487040486,0.029129451512785485,0.001495409006813708,0,232,0.1461877163752628,104
105,3.5189134460233618,0.028550611605049302,0.0014741274226081898,0,234,0.1315689447377365,105
106,3.5475959880277514,0.0279960319155467,0.0014544851249250776,0,236,0.11841205026396286,106
107,3.5762855290377047,0.027462815063620808,0.001436121186961098,0,238,0.10657084523756657,107
