iter,elapsed_time,obj,gradnorm,eval,grad
1,0.09881774999666959,0.7909425139366152,0.06588043183903478,0,6
2,0.1530731660022866,0.6898086270516449,0.07575665012333847,0,10
4,0.25534820900065824,0.5106670926974058,0.04303350072033987,0,17
8,0.5063874580082484,0.34960777645316893,0.043332866638250346,0,32
16,0.9242409160069656,0.15945056636716595,0.018780215637066017,0,61
32,1.732155417004833,0.09894813211540163,0.011564493834600172,0,116
64,3.3401895000133663,0.026706949347744542,0.005316234198450634,0,227
128,6.299424541997723,0.011192345152952232,0.0012497913505884958,0,443
256,12.361324708006578,0.002856630824225011,0.0011069354548653716,0,867
512,24.90796945799957,0.0008073082578498348,0.0003687720075055107,0,1702
1024,49.33358849998331,0.00012855096114492757,6.270301750770878e-05,0,3363
2048,99.00039487500908,1.891467084127959e-05,5.2764557687192e-05,0,6734
