iter,elapsed_time,obj,gradnorm,eval,grad,L,M,iter_inner
0,0,1.0,2.0,0,1,1000.0,1.0,0
1,0.002730584004893899,0.9960040016,1.9959969603208918,0,3,1000.0,300.01499962501856,1
2,0.0053035419987281784,0.9900370150737569,1.9899711789348387,0,5,1000.0,333.4525903931219,2
3,0.007897041999967769,0.9821292864648923,1.9818498996060447,0,7,1000.0,350.3783316981961,3
4,0.010410666989628226,0.9723209550709523,1.9715172577599605,0,9,1000.0,360.83017160403114,4
5,0.013074791990220547,0.960662953226432,1.9588489685137072,0,11,1000.0,368.142374180752,5
6,0.015772541984915733,0.9472178518300702,1.9437561582319784,0,13,1000.0,373.70600578759854,6
7,0.01828712597489357,0.9320603458801788,1.926215897644609,0,15,1000.0,378.1654211876035,7
8,0.020777375975740142,0.9152772152695521,1.9062760873253655,0,17,900.0,1.0,0
9,0.023592958983499557,0.9112448629437843,1.901280650429876,0,19,900.0,298.0108716399481,1
10,0.02614379297301639,0.9052318134151941,1.8938630187742675,0,21,900.0,331.8400792261534,2
11,0.028660501979175024,0.8972769006666014,1.883978251737054,0,23,900.0,349.35359543473135,3
12,0.031290960978367366,0.8874309756156894,1.871509590204408,0,25,900.0,360.3934260786559,4
13,0.03385150297253858,0.8757578760685462,1.8563372604004142,0,27,900.0,368.1604145631147,5
14,0.03656696197867859,0.8623350984562269,1.838411372767941,0,29,900.0,373.94453315704874,6
15,0.03906792096677236,0.8472537034609466,1.8177857403842055,0,31,810.0,1.0,0
16,0.0417567959666485,0.8431806061496757,1.8121360752195235,0,33,810.0,296.1111804956235,1
17,0.0443550459749531,0.8371136092206395,1.8036784649972633,0,35,810.0,330.01324429676026,2
18,0.04692608697223477,0.8290998682161692,1.7923693563126433,0,37,810.0,347.6421969376762,3
19,0.04946583697164897,0.8192009631269164,1.778142831942756,0,39,810.0,358.67840102494694,4
20,0.05200758697174024,0.8074932486310096,1.7609634482342367,0,41,810.0,366.244438921315,5
21,0.05454371197265573,0.7940677240172397,1.7408689835830393,0,43,810.0,371.6008515663349,6
22,0.05707800296659116,0.7790291737283863,1.717977455273767,0,45,729.0,1.0,0
23,0.05965712797478773,0.7749879725194639,1.711688587617979,0,47,729.0,289.98469902727413,1
24,0.062190002980059944,0.7689758456235467,1.702343738045288,0,49,729.0,324.0337709072711,2
25,0.06471921097545419,0.7610470310670636,1.6899226071840505,0,51,729.0,342.0822727695406,3
26,0.06726158598030452,0.7512717918764544,1.674382421524035,0,53,729.0,353.4229930955931,4
27,0.06978212797548622,0.7397364540231415,1.6557335271484135,0,55,729.0,361.0159955015371,5
28,0.07231558697822038,0.7265426477652212,1.6340794833694132,0,57,729.0,366.0719388658909,6
29,0.07479758697445504,0.711805651817157,1.6096005840583267,0,59,656.1,1.0,0
30,0.07740971197199542,0.707865095776461,1.602890773525987,0,61,656.1,282.2331718112249,1
31,0.07994954497553408,0.7020092938420697,1.5929733523887872,0,63,656.1,316.3459721579053,2
32,0.08246629497443791,0.6942977927120871,1.579847068019584,0,65,656.1,334.67304581735084,3
33,0.08501016997615807,0.6848072239071418,1.5635041159081136,0,67,656.1,346.068302524832,4
34,0.08753691997844726,0.6736308353473525,1.5440137389372897,0,69,656.1,353.37544515850044,5
35,0.09000112797366455,0.6608769970959775,1.5215385528353507,0,71,590.49,1.0,0
36,0.09257041997625493,0.6569653518112318,1.5145887443659947,0,73,590.49,278.9131542792832,1
37,0.09509437797532883,0.6511579113381479,1.5042497489940125,0,75,590.49,312.0682067741287,2
38,0.0976232529792469,0.6435200607015444,1.4905559325451179,0,77,590.49,329.39754548044203,3
39,0.10025037797458936,0.6341354301423527,1.4735742102016345,0,79,590.49,339.7418763127599,4
40,0.10278208597446792,0.6231046017854922,1.4534373676180965,0,81,590.49,346.02099417186156,5
41,0.10525633596989792,0.6105430680323892,1.4303339460897855,0,83,531.441,1.0,0
42,0.1078134609706467,0.6067030534884374,1.4231963407480812,0,85,531.441,270.8596109595163,1
43,0.1103449609800009,0.6010072905096945,1.4126197500304671,0,87,531.441,304.03235206899956,2
44,0.11289450297772419,0.5935253218606112,1.3986515872561407,0,89,531.441,321.37615440749,3
45,0.1154310029669432,0.5843456717475132,1.3813889348325694,0,91,531.441,331.4349959679166,4
46,0.11795650297426619,0.5735740423312842,1.3610001675026087,0,93,531.441,337.19646278226605,5
47,0.12052816897630692,0.5613307853772681,1.3376957775815086,0,95,478.29690000000005,1.0,0
48,0.12310600197815802,0.5575995884020151,1.3305215856802601,0,97,478.29690000000005,263.01929038226933,1
49,0.12568970998108853,0.5520698291847419,1.319912750675575,0,99,478.29690000000005,295.992021604306,2
50,0.12828066798101645,0.544813775012906,1.305931944499353,0,101,478.29690000000005,312.94768917767834,3
51,0.13086704297165852,0.5359229703941757,1.2887093249790242,0,103,478.29690000000005,322.3621829937029,4
52,0.1334563349664677,0.5255059426006579,1.2684366745611453,0,105,478.29690000000005,327.441691062821,5
53,0.13599466795858461,0.5136854066027546,1.2453321928736645,0,107,430.4672100000001,1.0,0
54,0.13861229296890087,0.5100929577814667,1.2382513976524783,0,109,430.4672100000001,255.3019454573848,1
55,0.14118112597498111,0.5047726814419911,1.2277894612057263,0,111,430.4672100000001,287.8800994653962,2
56,0.14375008396746125,0.4977981404884495,1.214026988349829,0,113,430.4672100000001,304.08870782714854,3
57,0.14632304296537768,0.4892620599160405,1.1971206145174667,0,115,430.4672100000001,312.65575795043776,4
58,0.14888283495383803,0.47927369897915445,1.1772713546741964,0,117,430.4672100000001,317.09750703943183,5
59,0.15140320995124057,0.46795598618314355,1.1547006793081644,0,119,387.4204890000001,1.0,0
60,0.15399079395865556,0.4645246975999635,1.1478198112387026,0,121,387.4204890000001,248.1640503724024,1
61,0.15655829395109322,0.4594462504334165,1.1376476672417035,0,123,387.4204890000001,279.8653101566115,2
62,0.15911229395715054,0.45279422651918116,1.1242887863481559,0,125,387.4204890000001,294.8849825279322,3
63,0.16166471094766166,0.44466090691575966,1.1079141048662664,0,127,387.4204890000001,302.55842303976226,4
64,0.16426383594807703,0.4351545511021493,1.0887254148196497,0,129,387.4204890000001,306.57034051090426,5
65,0.16711125294386875,0.424396543202716,1.0669478215987376,0,131,348.6784401000001,1.0,0
66,0.16972912794153672,0.42114183276745504,1.0603408642029297,0,133,348.6784401000001,241.7650883554879,1
67,0.1722934619319858,0.416327319707108,1.0505636304434556,0,135,348.6784401000001,271.82177390013834,2
68,0.17481554493133444,0.41002550991481346,1.0377435966639852,0,137,348.6784401000001,285.38901406016265,3
69,0.17734283593017608,0.40232694470481833,1.0220535450394144,0,139,348.6784401000001,292.41209667130227,4
70,0.18002716993214563,0.3933375573378552,1.0036945472463918,0,141,313.8105960900001,1.0,0
71,0.18260158693010453,0.3901378067292841,0.9971512947508712,0,143,313.8105960900001,238.41898458932488,1
72,0.18513546192843933,0.3854081272971225,0.9874682139888329,0,145,313.8105960900001,265.65914507335987,2
73,0.18766879593022168,0.37922339639716024,0.9747899121271126,0,147,313.8105960900001,278.1583799285359,3
74,0.19018996293016244,0.3716768263262535,0.959295466059881,0,149,313.8105960900001,284.9274997625411,4
75,0.19266429693379905,0.3628771745380329,0.9411950916108686,0,151,282.4295364810001,1.0,0
76,0.19518446392612532,0.3597513926613314,0.9347555938195612,0,153,282.4295364810001,234.00877854156604,1
77,0.19773058891587425,0.3551343971792654,0.9252382529929005,0,155,282.4295364810001,258.7682370899968,2
78,0.20026588092150632,0.34910268034340874,0.9127900843724347,0,157,282.4295364810001,271.0375137907878,3
79,0.20280000592174474,0.341751286565457,0.8975976741681431,0,159,282.4295364810001,277.49664025545263,4
80,0.20530208991840482,0.33319077172557254,0.8798775971387459,0,161,254.18658283290011,1.0,0
81,0.2078253399231471,0.3301559776435572,0.873579700284562,0,163,254.18658283290011,229.9938075221983,1
82,0.21039983992523048,0.325676523101001,0.8642889560179638,0,165,254.18658283290011,251.09002910067784,2
