iter,elapsed_time,obj,gradnorm,eval,grad,B,B0,iter_inner,K,inv_step,momentum
0,0,1.0,2.0,1,0,1e-09,100,0,158114,40000.0,0.9999936754446797
1,0.0012995840079383925,0.9999000025000007,1.9998999999500626,1,1,1e-09,100,1,158114,40000.0,0.9999936754446797
2,0.0024430840130662546,0.9997000331308994,1.999700009290627,1,2,1e-09,100,2,158114,40000.0,0.9999936754446797
3,0.0035509590088622645,0.9994001375154612,1.9994000368611746,1,3,1e-09,100,3,158114,40000.0,0.9999936754446797
4,0.004786125005921349,0.9990003812605248,1.9990000823122485,1,4,1e-09,100,4,158114,40000.0,0.9999936754446797
5,0.005939958005910739,0.9985008499516353,1.998500123760415,1,5,1e-09,100,5,158114,40000.0,0.9999936754446797
6,0.007064290999551304,0.9979016491553028,1.9979001022856797,1,6,1e-09,100,6,158114,40000.0,0.9999936754446797
7,0.008168874992406927,0.9972029044354398,1.9971999040311899,1,7,1e-09,100,7,158114,40000.0,0.9999936754446797
8,0.009316166993812658,0.9964047613916915,1.996399340804334,1,8,1e-09,100,8,158114,40000.0,0.9999936754446797
9,0.01052508398424834,0.9955073857282611,1.9954981301932315,1,9,1e-09,100,9,158114,40000.0,0.9999936754446797
10,0.01169612597732339,0.9945109633624495,1.9944958763002798,1,10,1e-09,100,10,158114,40000.0,0.9999936754446797
11,0.012788041974999942,0.9934157005824428,1.9933920522528004,1,11,1e-09,100,11,158114,40000.0,0.9999936754446797
12,0.01387862597766798,0.9922218242638788,1.9921859856783366,1,12,1e-09,100,12,158114,40000.0,0.9999936754446797
13,0.014970083982916549,0.9909295821543919,1.9908768483281014,1,13,1e-09,100,13,158114,40000.0,0.9999936754446797
14,0.016069125980720855,0.9895392432346882,1.9894636509963886,1,14,1e-09,100,14,158114,40000.0,0.9999936754446797
15,0.017151334977825172,0.9880510981637354,1.9879452448170958,1,15,1e-09,100,15,158114,40000.0,0.9999936754446797
