iter,elapsed_time,obj,gradnorm,eval,grad,B,B0,iter_inner,K,inv_step,momentum
0,0,1.0,2.0,1,0,3.162277660168379e-09,100,0,28117,400.0,0.9999644344117993
1,0.0012063330068485811,0.9900250624999999,1.989956281554949,1,1,3.162277660168379e-09,100,1,28117,400.0,0.9999644344117993
2,0.002325250010471791,0.9703288302359632,1.9693707093220718,1,2,3.162277660168379e-09,100,2,28117,400.0,0.9999644344117993
3,0.003428916010307148,0.941393562348315,1.9370778363939751,1,3,3.162277660168379e-09,100,3,28117,400.0,0.9999644344117993
4,0.004555416002403945,0.9039729759335595,1.8925700153492344,1,4,3.162277660168379e-09,100,4,28117,400.0,0.9999644344117993
5,0.005644874006975442,0.8591083663819845,1.836883633036724,1,5,3.162277660168379e-09,100,5,28117,400.0,0.9999644344117993
6,0.0067322910035727546,0.8080941844967087,1.7719553541088238,1,6,3.162277660168379e-09,100,6,28117,400.0,0.9999644344117993
7,0.007825125008821487,0.7523993704489605,1.6991765033073225,1,7,3.162277660168379e-09,100,7,28117,400.0,0.9999644344117993
8,0.008959083002991974,0.6935640495994423,1.6180926054809441,1,8,3.162277660168379e-09,100,8,28117,400.0,0.9999644344117993
9,0.010045000002719462,0.633098486174407,1.5262092458328955,1,9,3.162277660168379e-09,100,9,28117,400.0,0.9999644344117993
10,0.011125667006126605,0.5724076132286472,1.4208662252358495,1,10,3.162277660168379e-09,100,10,28117,400.0,0.9999644344117993
11,0.012202917001559399,0.5127400585593116,1.3025060317379022,1,11,3.162277660168379e-09,100,11,28117,400.0,0.9999644344117993
12,0.013288667003507726,0.45514247950993525,1.1762456816455609,1,12,3.162277660168379e-09,100,12,28117,400.0,0.9999644344117993
13,0.014368417003424838,0.4004200410608647,1.0496596887263039,1,13,3.162277660168379e-09,100,13,28117,400.0,0.9999644344117993
14,0.015449541999259964,0.3491282358376717,0.9292324963008998,1,14,3.162277660168379e-09,100,14,28117,400.0,0.9999644344117993
15,0.0165290839941008,0.30160335551570944,0.8192561141887891,1,15,3.162277660168379e-09,100,15,28117,400.0,0.9999644344117993
16,0.01763650099746883,0.2580096582355978,0.7227780964547611,1,16,3.162277660168379e-09,100,16,28117,400.0,0.9999644344117993
17,0.01871362599194981,0.21838351717493942,0.641942248916966,1,17,3.162277660168379e-09,100,17,28117,400.0,0.9999644344117993
18,0.019908459988073446,0.18267062771840503,0.5777204172222998,1,18,3.162277660168379e-09,100,18,28117,400.0,0.9999644344117993
