iter,elapsed_time,obj,gradnorm,eval,grad,no_perturb_count,gamma,inv_step,momentum
0,0,1.0,2.0,0,0,0,2.5000000000000005e-09,400.0,0.9999975
1,0.018481292005162686,0.9900250624999999,1.989956281554949,1,1,1,2.5000000000000005e-09,400.0,0.9999975
2,0.019685625011334196,0.970328506362525,1.9693703610477566,2,2,2,2.5000000000000005e-09,400.0,0.9999975
3,0.02084412499971222,0.9413922962681444,1.9370763733527343,3,3,3,2.5000000000000005e-09,400.0,0.9999975
4,0.022087500008638017,0.9039699141230785,1.8925663290391803,4,4,4,2.5000000000000005e-09,400.0,0.9999975
5,0.023226666016853414,0.8591025126574016,1.836876745681626,5,5,5,2.5000000000000005e-09,400.0,0.9999975
6,0.02435983302711975,0.8080845148554205,1.7719450567684614,6,6,6,2.5000000000000005e-09,400.0,0.9999975
7,0.025492042026598938,0.7523849458020951,1.6991634271804674,7,7,7,2.5000000000000005e-09,400.0,0.9999975
8,0.026618417017743923,0.6935441013337915,1.6180769973613738,8,8,8,2.5000000000000005e-09,400.0,0.9999975
9,0.02773429201624822,0.6330724669778269,1.526188758679186,9,9,9,2.5000000000000005e-09,400.0,0.9999975
10,0.028850334012531675,0.5723752274262889,1.4208347990101864,10,10,10,2.5000000000000005e-09,400.0,0.9999975
11,0.029967417009174824,0.5127012830253997,1.3024559862155294,11,11,11,2.5000000000000005e-09,400.0,0.9999975
12,0.031108250012039207,0.4550975607791378,1.1761718371301917,12,12,12,2.5000000000000005e-09,400.0,0.9999975
13,0.03221741701418068,0.40036945445545175,1.0495616303704376,13,13,13,2.5000000000000005e-09,400.0,0.9999975
14,0.03332645901537035,0.34907262508314335,0.9291138486288397,14,14,14,2.5000000000000005e-09,400.0,0.9999975
15,0.034434001019690186,0.3015434815045751,0.8191237918345098,15,15,15,2.5000000000000005e-09,400.0,0.9999975
16,0.03554570901906118,0.2579463636381918,0.7226428820967026,16,16,16,2.5000000000000005e-09,400.0,0.9999975
17,0.03665691701462492,0.21831770148063318,0.6418187373756616,17,17,17,2.5000000000000005e-09,400.0,0.9999975
18,0.03778516700549517,0.18260323113616084,0.5776258101491508,18,18,18,2.5000000000000005e-09,400.0,0.9999975
19,0.038896708996617235,0.15068797331165013,0.5298656868936509,19,19,19,2.5000000000000005e-09,400.0,0.9999975
