iter,elapsed_time,obj,gradnorm,eval,grad,B,B0,iter_inner,K,inv_step,momentum
0,0,1.0,2.0,1,0,3.162277660168379e-09,100,0,281171,40000.0,0.9999964434411799
1,0.0016461250052088872,0.9999000025000007,1.9998999999500626,1,1,3.162277660168379e-09,100,1,281171,40000.0,0.9999964434411799
2,0.002834291008184664,0.9997000328541552,1.9997000090138377,1,2,3.162277660168379e-09,100,2,281171,40000.0,0.9999964434411799
3,0.003953749997890554,0.9994001364087084,1.999400035754031,1,3,3.162277660168379e-09,100,3,281171,40000.0,0.9999964434411799
4,0.005084500007797033,0.9990003784943684,1.9990000795443035,1,4,3.162277660168379e-09,100,4,281171,40000.0,0.9999964434411799
5,0.006217375004780479,0.9985008444211073,1.998500118223934,1,5,3.162277660168379e-09,100,5,281171,40000.0,0.9999964434411799
6,0.007328041014261544,0.9979016394805831,1.9979000925946901,1,6,3.162277660168379e-09,100,6,281171,40000.0,0.9999964434411799
7,0.00845029101765249,0.9972028889627449,1.9971998885197122,1,7,3.162277660168379e-09,100,7,281171,40000.0,0.9999964434411799
8,0.010093166012666188,0.9964047381943332,1.996399317523495,1,8,3.162277660168379e-09,100,8,281171,40000.0,0.9999964434411799
9,0.011244831999647431,0.9955073526078709,1.9954980969069764,1,9,3.162277660168379e-09,100,9,281171,40000.0,0.9999964434411799
10,0.012342040005023591,0.9945109178503793,1.9944958304794465,1,10,3.162277660168379e-09,100,10,281171,40000.0,0.9999964434411799
11,0.01349612299236469,0.9934156399413416,1.993391991067387,1,11,3.162277660168379e-09,100,11,281171,40000.0,0.9999964434411799
12,0.014627997996285558,0.9922217454894516,1.99218590598791,1,12,3.162277660168379e-09,100,12,281171,40000.0,0.9999964434411799
13,0.01573766500223428,0.9909294819773519,1.9908767466704314,1,13,3.162277660168379e-09,100,13,281171,40000.0,0.9999964434411799
14,0.01682474800327327,0.9895391181229082,1.9894635235745624,1,14,3.162277660168379e-09,100,14,281171,40000.0,0.9999964434411799
15,0.01793653999629896,0.9880509443246124,1.9879450874855773,1,15,3.162277660168379e-09,100,15,281171,40000.0,0.9999964434411799
16,0.019044457003474236,0.9864652731974278,1.9863201381726407,1,16,3.162277660168379e-09,100,16,281171,40000.0,0.9999964434411799
17,0.020140582011663355,0.984782440203847,1.9845872412712475,1,17,3.162277660168379e-09,100,17,281171,40000.0,0.9999964434411799
18,0.02122187400527764,0.9830028043831355,1.9827448541027148,1,18,3.162277660168379e-09,100,18,281171,40000.0,0.9999964434411799
19,0.022307082006591372,0.9811267491797241,1.9807913609731977,1,19,3.162277660168379e-09,100,19,281171,40000.0,0.9999964434411799
20,0.023440624005161226,0.9791546833695142,1.9787251183061199,1,20,3.162277660168379e-09,100,20,281171,40000.0,0.9999964434411799
21,0.024531332004698925,0.977087042080548,1.9765445097590453,1,21,3.162277660168379e-09,100,21,281171,40000.0,0.9999964434411799
22,0.025606665993109345,0.9749242879020733,1.974248011262841,1,22,3.162277660168379e-09,100,22,281171,40000.0,0.9999964434411799
23,0.0266933739912929,0.9726669120735929,1.9718342657017025,1,23,3.162277660168379e-09,100,23,281171,40000.0,0.9999964434411799
