iter,elapsed_time,obj,gradnorm,eval,grad,L
28,0.029868460012949072,0.548134791786009,1.3123967503235001,0,29,52.33476330273609
29,0.030903669001418166,0.5160143787087585,1.249954627256255,0,30,47.10128697246248
30,0.03200300200842321,0.4836988165051605,1.1861599515994008,0,31,42.391158275216235
31,0.03304579401446972,0.4514214224166889,1.121613896157956,0,32,38.15204244769461
32,0.03408008500991855,0.4194096234222398,1.0569104910932434,0,33,34.33683820292515
33,0.035109418007778004,0.3878786414470852,0.9926095402893528,0,34,30.903154382632636
34,0.036164585006190464,0.357026655843509,0.9292183252358885,0,35,27.81283894436937
35,0.03719937700952869,0.32703131195911306,0.8671521433013436,0,36,25.031555049932436
36,0.03824208500736859,0.2980508049824337,0.8072617070310951,0,37,22.528399544939194
37,0.03926758500165306,0.27030190817278754,0.8005785641133397,0,38,20.275559590445276
38,0.042454793001525104,0.2649014912655625,1.3181366392114908,0,41,72.992014525603
39,0.04549337599019054,0.2617190499195414,0.8222335712554718,0,44,262.7712522921708
40,0.04662150099466089,0.25955954884431337,0.7496921372603664,0,45,236.49412706295374
41,0.047704751006676815,0.2573139506793025,0.7321381665961489,0,46,212.84471435665836
42,0.04871237601037137,0.25487439772768317,0.7243129816009656,0,47,191.56024292099252
43,0.04971925100835506,0.2522103610869644,0.7201756696235408,0,48,172.40421862889326
44,0.05073208501562476,0.24930994181449567,0.7216361544715517,0,49,155.16379676600394
45,0.051736626017373055,0.24617534707980862,0.7415970187294763,0,50,139.64741708940355
46,0.05280904301616829,0.24292163341970716,0.8428689775709554,0,51,125.6826753804632
47,0.05480779301433358,0.24085789348873973,0.7501957412399165,0,53,226.22881568483376
48,0.05582062600296922,0.23874611505663837,0.7249936997422438,0,54,203.6059341163504
49,0.056820835001417436,0.23647429855790364,0.7225590338055479,0,55,183.24534070471537
50,0.0578245429933304,0.23403037945300914,0.7435897149100551,0,56,164.92080663424383
51,0.05882700199435931,0.23146733246147208,0.8246158303410694,0,57,148.42872597081944
52,0.059825917982379906,0.22915824864332812,1.1079130921892617,0,58,133.5858533737375
53,0.06281187597778626,0.22744724417140372,0.6841331948465983,0,61,480.909072145455
54,0.06381400096870493,0.22650754847257076,0.656255355115711,0,62,432.8181649309095
55,0.0648101259721443,0.22551471443345697,0.653731285777027,0,63,389.53634843781856
56,0.06581037597788963,0.22441956763896745,0.6513918340184027,0,64,350.5827135940367
57,0.06680504197720438,0.2232116646065499,0.648810161910201,0,65,315.52444223463306
58,0.06779729198024143,0.22188045086324298,0.645963426452848,0,66,283.9719980111698
59,0.06879199997638352,0.2204146200341518,0.6428269085903974,0,67,255.5747982100528
60,0.06979049996880349,0.2188021147107015,0.6393742027164304,0,68,230.01731838904752
61,0.07078591697791126,0.2170301423107566,0.6355771614604715,0,69,207.01558655014276
62,0.07180829197750427,0.21508520970974185,0.6314059492808889,0,70,186.31402789512848
63,0.07279841697891243,0.2129531809218764,0.6268291201658689,0,71,167.68262510561564
64,0.07379550098266918,0.21061936223198127,0.6218137470279311,0,72,150.9143625950541
65,0.07479495997540653,0.20806861999293888,0.6163256251939976,0,73,135.8229263355487
66,0.07579612697008997,0.20528553570952116,0.610329502882073,0,74,122.24063370199381
67,0.07678666897118092,0.20225460463226233,0.6037895132241734,0,75,110.01657033179444
68,0.07777545996941626,0.1989604798541421,0.596669315771569,0,76,99.014913298615
69,0.07876945997122675,0.19538827494912647,0.5889337408980332,0,77,89.1134219687535
70,0.07977304396627005,0.19152389712555906,0.5805459155771118,0,78,80.20207977187815
71,0.0807928359718062,0.1873545774753129,0.571513640131234,0,79,72.18187179469034
72,0.08181029396655504,0.18286976199701316,0.5625248416034223,0,80,64.96368461522131
73,0.08282008596870583,0.17810082403000244,0.5856175285475756,0,81,58.46731615369918
74,0.08383891996345483,0.1749682646693584,1.495554755005078,0,82,52.62058453832926
75,0.08786716996110044,0.17225342250037567,0.5660542266149339,0,86,378.86820867597066
76,0.08887804496043827,0.1714596655782297,0.5385429634267239,0,87,340.9813878083736
77,0.0898900449537905,0.1706147450205554,0.535089972162306,0,88,306.88324902753624
78,0.09092887795122806,0.1696843378201127,0.5328353588933923,0,89,276.19492412478263
79,0.09193700294417795,0.16865890206037293,0.5305273515840991,0,90,248.57543171230438
