iter,elapsed_time,obj,gradnorm,eval,grad,B,B0,iter_inner,K,inv_step,momentum
0,0,1.0,2.0,1,0,1e-08,100,0,500000,40000.0,0.999998
1,0.0014986249880166724,0.9999000025000007,1.9998999999500626,1,1,1e-08,100,1,500000,40000.0,0.999998
2,0.002795166990836151,0.9997000326985304,1.9997000088581875,1,2,1e-08,100,2,500000,40000.0,0.999998
3,0.00401370799227152,0.9994001357863348,1.9994000351314372,1,3,1e-08,100,3,500000,40000.0,0.999998
4,0.005389750003814697,0.9990003769388409,1.99900007798777,1,4,1e-08,100,4,500000,40000.0,0.999998
5,0.006671333001577295,0.9985008413110527,1.998500115110531,1,5,1e-08,100,5,500000,40000.0,0.999998
6,0.007932082997285761,0.9979016340400647,1.9979000871450223,1,6,1e-08,100,6,500000,40000.0,0.999998
7,0.009177125000860542,0.9972028802617625,1.99719987979692,1,7,1e-08,100,7,500000,40000.0,0.999998
8,0.010440250000101514,0.9964047251494154,1.996399304431632,1,8,1e-08,100,8,500000,40000.0,0.999998
9,0.012164708998170681,0.9955073339827661,1.9954980781885976,1,9,1e-08,100,9,500000,40000.0,0.999998
10,0.014006918005179614,0.9945108922568408,1.9944958047122738,1,10,1e-08,100,10,500000,40000.0,0.999998
11,0.015428126003826037,0.9934156058400133,1.9933919566599627,1,11,1e-08,100,11,500000,40000.0,0.999998
12,0.01680975100316573,0.9922217011908586,1.9921858611742003,1,12,1e-08,100,12,500000,40000.0,0.999998
13,0.017997375995037146,0.9909294256429948,1.9908766895034335,1,13,1e-08,100,13,500000,40000.0,0.999998
14,0.019200084992917255,0.9895390477664747,1.9894634519190586,1,14,1e-08,100,14,500000,40000.0,0.999998
15,0.020468210001126863,0.9880508578133055,1.9879449990102933,1,15,1e-08,100,15,500000,40000.0,0.999998
16,0.021634084987454116,0.9864651682534246,1.9863200303421957,1,16,1e-08,100,16,500000,40000.0,0.999998
17,0.02293020999059081,0.9847823144058936,1.9845871113384157,1,17,1e-08,100,17,500000,40000.0,0.999998
18,0.024641084994073026,0.9830026551682925,1.9827446991016762,1,18,1e-08,100,18,500000,40000.0,0.999998
19,0.026237334983306937,0.981126573845273,1.9807911777145983,1,19,1e-08,100,19,500000,40000.0,0.999998
20,0.029364126981818117,0.9791544790750398,1.9787249033749235,1,20,1e-08,100,20,500000,40000.0,0.999998
21,0.0314107519807294,0.9770868058502115,1.9765442595163076,1,21,1e-08,100,21,500000,40000.0,0.999998
22,0.03263795997190755,0.9749240166270923,1.974247721852687,1,22,1e-08,100,22,500000,40000.0,0.999998
23,0.033934709965251386,0.9726666025149442,1.97183393306492,1,23,1e-08,100,23,500000,40000.0,0.999998
24,0.035170084971468896,0.970315084534412,1.9693017866270288,1,24,1e-08,100,24,500000,40000.0,0.999998
25,0.03631362598389387,0.9678700149318701,1.9666505190498405,1,25,1e-08,100,25,500000,40000.0,0.999998
26,0.03770954298670404,0.9653319785342125,1.9638798096057892,1,26,1e-08,100,26,500000,40000.0,0.999998
27,0.039405584990163334,0.9627015941264879,1.9609898863934698,1,27,1e-08,100,27,500000,40000.0,0.999998
28,0.04067491798195988,0.9599795158328988,1.9579816374071006,1,28,1e-08,100,28,500000,40000.0,0.999998
29,0.042195917980279773,0.9571664344800207,1.9548567250969138,1,29,1e-08,100,29,500000,40000.0,0.999998
30,0.043419417983386666,0.9542630789197414,1.9516177027437593,1,30,1e-08,100,30,500000,40000.0,0.999998
