iter,elapsed_time,obj,gradnorm,eval,grad,L,M,iter_inner
0,0,1.0,2.0,0,1,100.0,10.0,0
1,0.002667124994331971,0.9604159999999998,1.9584346402165174,0,3,100.0,301.4962686336268,1
2,0.00520608299120795,0.9038853536321884,1.893193889644981,0,5,90.0,10.0,0
3,0.008335873993928544,0.8646804027934172,1.8436645657347452,0,7,90.0,309.16262252961974,1
4,0.011826331989141181,0.8095423044227062,1.7878497023927145,0,9,81.0,10.0,0
5,0.01437012298265472,0.7722986237566755,1.7761774371824102,0,11,81.0,355.8248380271198,1
6,0.01693108097242657,0.7249364787144139,2.2803538245739374,0,13,72.9,10.0,0
7,0.018103413967764936,0.7249364787144139,2.2803538245739374,0,14,145.8,10.0,0
8,0.020990580960642546,0.7027834140492355,1.783016371455419,0,16,145.8,530.1924311355581,1
9,0.024505372959538363,0.6786738025228288,1.9047937442101466,0,18,131.22000000000003,10.0,0
10,0.027081331951194443,0.659417951804432,1.717731542641524,0,20,131.22000000000003,547.2089444527574,1
11,0.029937831961433403,0.636518340613099,2.0294948133529402,0,22,118.09800000000003,10.0,0
12,0.03292324896028731,0.6185540965270273,2.0055982183648675,0,24,118.09800000000003,600.4261415984047,1
13,0.03586520696990192,0.6077262297785073,3.3112244220245173,0,26,106.28820000000003,10.0,0
14,0.03693337396543939,0.6077262297785073,3.3112244220245173,0,27,212.57640000000006,10.0,0
15,0.03947295795660466,0.5804496423644652,1.4376524483991557,0,29,212.57640000000006,571.5185301538984,1
16,0.04253795796830673,0.56747548869252,1.3747470639616606,0,31,212.57640000000006,571.5185301538984,2
17,0.04609316596179269,0.5504300405097167,1.3266177274327944,0,33,191.31876000000005,10.0,0
18,0.04871004095184617,0.5413810770605841,1.300567445364508,0,35,191.31876000000005,206.58841809124598,1
19,0.0512688749586232,0.5282689725643337,1.2749501096202036,0,37,191.31876000000005,325.5358855255482,2
20,0.05428699996264186,0.5114748542452796,1.2424519911358052,0,39,191.31876000000005,325.5358855255482,3
21,0.05721637496026233,0.4914647469104385,1.2022120961628193,0,41,172.18688400000005,10.0,0
22,0.05983045896573458,0.48313603919257064,1.185255085293422,0,43,172.18688400000005,236.18574253109497,1
23,0.06235875096172094,0.4710283909730945,1.1612696846664343,0,45,172.18688400000005,300.87625294835385,2
24,0.06504620995838195,0.45553873593589417,1.1315010033027173,0,47,154.96819560000006,10.0,0
25,0.06792337696242612,0.447362000979886,1.1145877295354645,0,49,154.96819560000006,289.7306717309869,1
26,0.07059662695974112,0.435507923799443,1.0944349145154917,0,51,154.96819560000006,289.7306717309869,2
27,0.07311275195388589,0.42038369181819485,1.0733433119971558,0,53,139.47137604000005,10.0,0
28,0.07578425195242744,0.4124215578372973,1.062541477939374,0,55,139.47137604000005,151.7378991176201,1
29,0.0789700859459117,0.4011657531862018,1.0831600221915236,0,57,139.47137604000005,444.4588067974764,2
30,0.0819042949588038,0.38843605124143815,1.563720320275163,0,59,125.52423843600005,10.0,0
31,0.08296646195231006,0.38843605124143815,1.563720320275163,0,60,251.0484768720001,10.0,0
32,0.08547612895199563,0.382386149177822,1.0292379317768159,0,62,251.0484768720001,835.9541328841074,1
33,0.08826187896193005,0.3766896254149089,0.9914309333164445,0,64,251.0484768720001,835.9541328841074,2
34,0.09138437896035612,0.3691843951998494,0.975119217745767,0,66,225.9436291848001,10.0,0
35,0.09421479595766868,0.36512241525584993,0.9500649549973661,0,68,225.9436291848001,128.99803477309067,1
36,0.09680750395637006,0.3592254636567449,0.9384161271412907,0,70,225.9436291848001,345.26920727171444,2
37,0.09964858795865439,0.3515640892884091,0.9252867510705741,0,72,225.9436291848001,345.26920727171444,3
38,0.10273800494906027,0.3422843277045463,0.9087305436682017,0,74,203.3492662663201,10.0,0
39,0.10543371296080295,0.33831577597724505,0.8951617846199028,0,76,203.3492662663201,135.25419111140067,1
40,0.10800217096402775,0.3325222691476898,0.8861157108508803,0,78,203.3492662663201,349.8679145915447,2
41,0.11056212896073703,0.3250254083934182,0.8794207596434361,0,80,203.3492662663201,349.8679145915447,3
42,0.11410546196566429,0.31601770838224386,0.9147664374387023,0,82,183.01433963968807,10.0,0
43,0.11720150397741236,0.3121252240147878,0.9003879572586708,0,84,183.01433963968807,116.94645012228465,1
44,0.11978287897363771,0.30688568961745,0.9599011969023138,0,86,183.01433963968807,649.5760029080944,2
45,0.12249329496989958,0.3013904370973088,1.5597631347102514,0,88,164.71290567571927,10.0,0
46,0.12403912797162775,0.3013904370973088,1.5597631347102514,0,89,329.42581135143854,10.0,0
47,0.12703954498283565,0.29699963470676627,0.8172994000413532,0,91,329.42581135143854,957.303745275433,1
48,0.1297328369691968,0.2940641186520082,0.8021668800548248,0,93,329.42581135143854,957.303745275433,2
49,0.13230971197481267,0.2902014885483774,0.7910824985239612,0,95,329.42581135143854,957.303745275433,3
50,0.13540400397323538,0.285478417308226,0.7807407797309133,0,97,296.4832302162947,10.0,0
51,0.13798887898155954,0.28342904263367097,0.7761903355846922,0,99,296.4832302162947,239.22272194115376,1
52,0.14065387898881454,0.28039365623836904,0.7698303514398296,0,101,296.4832302162947,239.22272194115376,2
53,0.14321091999590863,0.276412230416036,0.7614570077243056,0,103,296.4832302162947,256.976680487937,3
54,0.14579458700609393,0.27153601997288473,0.7512204673476339,0,105,296.4832302162947,256.976680487937,4
55,0.14846817000943702,0.2658247439325779,0.7391877500007052,0,107,296.4832302162947,264.84220216890736,5
56,0.15103862799878698,0.2593462036532607,0.7255545310835644,0,109,266.8349071946653,10.0,0
57,0.15361471098731272,0.25737909429324024,0.7213822555173057,0,111,266.8349071946653,218.73260837313438,1
58,0.1562461279972922,0.2544662699229199,0.7152362478233555,0,113,266.8349071946653,231.56935268635223,2
59,0.15888812800403684,0.25064820664697623,0.707155699832974,0,115,266.8349071946653,249.71800490909186,3
60,0.16145125300681684,0.2459758676340533,0.6972919409902358,0,117,266.8349071946653,249.71800490909186,4
61,0.1639191279973602,0.24050860309706235,0.685664747814294,0,119,240.15141647519874,10.0,0
62,0.16647041999385692,0.2385568840080871,0.681516828139753,0,121,240.15141647519874,204.3960025459999,1
63,0.16896691998408642,0.23566889821174425,0.6753784396706056,0,123,240.15141647519874,233.50138649494863,2
64,0.1715675039886264,0.23188714516475967,0.6673546317905756,0,125,240.15141647519874,238.06533183520645,3
65,0.17408775398507714,0.2272645040372144,0.6574900123059348,0,127,240.15141647519874,252.3971852804305,4
66,0.17661404598038644,0.2218637330435358,0.6462175599636483,0,129,216.13627482767887,10.0,0
67,0.17908175397315063,0.21993956143463092,0.6420867801309414,0,131,216.13627482767887,230.92929619324994,1
68,0.18159879496670328,0.2170957097036406,0.6368809990585874,0,133,216.13627482767887,230.92929619324994,2
69,0.18437929496576544,0.2133782413219814,0.6321193305920091,0,135,216.13627482767887,284.6660160175248,3
70,0.18695450396626256,0.20886137009565692,0.631073782235884,0,137,216.13627482767887,284.6660160175248,4
71,0.1893965039635077,0.20368504183196745,0.7133360648807833,0,139,194.52264734491098,10.0,0
72,0.19192600395763293,0.20190173450789922,0.7711505837796742,0,141,194.52264734491098,74.58920068181347,1
73,0.1948858789546648,0.20022985024507572,1.0820859280099144,0,143,194.52264734491098,1028.637301637767,2
74,0.1961298369569704,0.20041810222639989,1.324189647174735,0,144,389.04529468982196,10.0,0
75,0.1987335039593745,0.19798744196071116,0.6217600791932721,0,146,389.04529468982196,340.8616282661899,1
76,0.20130396196327638,0.19661238926783395,0.5972507083567553,0,148,389.04529468982196,573.6565056931757,2
77,0.20386458696157206,0.19480428276767692,0.5899247992214377,0,150,389.04529468982196,573.6565056931757,3
78,0.20684966995031573,0.1925876178187061,0.5837153998173966,0,152,389.04529468982196,573.6565056931757,4
