iter,elapsed_time,obj,gradnorm,eval,grad,L,M,iter_inner
0,0,1.0,2.0,0,1,100.0,1.0,0
1,0.0030435420048888773,0.9604159999999998,1.9584346402165174,0,3,100.0,301.4962686336268,1
2,0.022511500006658025,0.9038853536321884,1.893193889644981,0,5,90.0,1.0,0
3,0.07678366701293271,0.8646804027934172,1.8436645657347452,0,7,90.0,309.16262252961974,1
4,0.07957308401819319,0.8095423044227062,1.7878497023927145,0,9,81.0,1.0,0
5,0.08244966701022349,0.7722986237566755,1.7761774371824102,0,11,81.0,355.8248380271198,1
6,0.08566725000855513,0.7249364787144139,2.2803538245739374,0,13,72.9,1.0,0
7,0.08682266701362096,0.7249364787144139,2.2803538245739374,0,14,145.8,1.0,0
8,0.08955475001130253,0.7027834140492355,1.783016371455419,0,16,145.8,530.1924311355581,1
9,0.09230266700615175,0.6786738025228288,1.9047937442101466,0,18,131.22000000000003,1.0,0
10,0.09564879200479481,0.659417951804432,1.717731542641524,0,20,131.22000000000003,547.2089444527574,1
11,0.09849579200090375,0.636518340613099,2.0294948133529402,0,22,118.09800000000003,1.0,0
12,0.10124979200190865,0.6185540965270273,2.0055982183648675,0,24,118.09800000000003,600.4261415984047,1
13,0.1041672919964185,0.6077262297785073,3.3112244220245173,0,26,106.28820000000003,1.0,0
14,0.1054541670018807,0.6077262297785073,3.3112244220245173,0,27,212.57640000000006,1.0,0
15,0.10849812500237022,0.5804496423644652,1.4376524483991557,0,29,212.57640000000006,571.5185301538984,1
16,0.11125991700100712,0.56747548869252,1.3747470639616606,0,31,212.57640000000006,571.5185301538984,2
17,0.1140579580096528,0.5504300405097167,1.3266177274327944,0,33,191.31876000000005,1.0,0
18,0.1169588750199182,0.5413810770605841,1.300567445364508,0,35,191.31876000000005,206.58841809124598,1
19,0.12007250002352521,0.5282689725643337,1.2749501096202036,0,37,191.31876000000005,325.5358855255482,2
20,0.12281008301943075,0.5114748542452796,1.2424519911358052,0,39,191.31876000000005,325.5358855255482,3
21,0.12548458301171195,0.4914647469104385,1.2022120961628193,0,41,172.18688400000005,1.0,0
22,0.1282697080168873,0.48313603919257064,1.185255085293422,0,43,172.18688400000005,236.18574253109497,1
23,0.13164325001707766,0.4710283909730945,1.1612696846664343,0,45,172.18688400000005,300.87625294835385,2
24,0.13437050001812167,0.45553873593589417,1.1315010033027173,0,47,154.96819560000006,1.0,0
25,0.13708491701981984,0.447362000979886,1.1145877295354645,0,49,154.96819560000006,289.7306717309869,1
26,0.13988929202605505,0.435507923799443,1.0944349145154917,0,51,154.96819560000006,289.7306717309869,2
27,0.14327845902880654,0.42038369181819485,1.0733433119971558,0,53,139.47137604000005,1.0,0
28,0.14608641802624334,0.4124215578372973,1.062541477939374,0,55,139.47137604000005,151.7378991176201,1
29,0.14898300102504436,0.4011657531862018,1.0831600221915236,0,57,139.47137604000005,444.4588067974764,2
30,0.15173487602442037,0.38843605124143815,1.563720320275163,0,59,125.52423843600005,1.0,0
31,0.15335020903148688,0.38843605124143815,1.563720320275163,0,60,251.0484768720001,1.0,0
32,0.15610162503435276,0.382386149177822,1.0292379317768159,0,62,251.0484768720001,835.9541328841074,1
33,0.15894366602879018,0.3766896254149089,0.9914309333164445,0,64,251.0484768720001,835.9541328841074,2
34,0.1615926660306286,0.3691843951998494,0.975119217745767,0,66,225.9436291848001,1.0,0
35,0.16428870703384746,0.36512241525584993,0.9500649549973661,0,68,225.9436291848001,128.99803477309067,1
36,0.16733808202843647,0.3592254636567449,0.9384161271412907,0,70,225.9436291848001,345.26920727171444,2
37,0.17019879003055394,0.3515640892884091,0.9252867510705741,0,72,225.9436291848001,345.26920727171444,3
38,0.17295312303758692,0.3422843277045463,0.9087305436682017,0,74,203.3492662663201,1.0,0
39,0.17611003904312383,0.33831577597724505,0.8951617846199028,0,76,203.3492662663201,135.25419111140067,1
40,0.17885524804296438,0.3325222691476898,0.8861157108508803,0,78,203.3492662663201,349.8679145915447,2
41,0.18158187303924933,0.3250254083934182,0.8794207596434361,0,80,203.3492662663201,349.8679145915447,3
42,0.18420091504231095,0.31601770838224386,0.9147664374387023,0,82,183.01433963968807,1.0,0
43,0.18693841504864395,0.3121252240147878,0.9003879572586708,0,84,183.01433963968807,116.94645012228465,1
44,0.18957458205113653,0.30688568961745,0.9599011969023138,0,86,183.01433963968807,649.5760029080944,2
45,0.19223737304855604,0.3013904370973088,1.5597631347102514,0,88,164.71290567571927,1.0,0
46,0.19338791504560504,0.3013904370973088,1.5597631347102514,0,89,329.42581135143854,1.0,0
47,0.19684837304521352,0.29699963470676627,0.8172994000413532,0,91,329.42581135143854,957.303745275433,1
48,0.20058195704768877,0.2940641186520082,0.8021668800548248,0,93,329.42581135143854,957.303745275433,2
49,0.20363104104762897,0.2902014885483774,0.7910824985239612,0,95,329.42581135143854,957.303745275433,3
50,0.20665900004678406,0.285478417308226,0.7807407797309133,0,97,296.4832302162947,1.0,0
51,0.20953075005672872,0.28342904263367097,0.7761903355846922,0,99,296.4832302162947,239.22272194115376,1
52,0.21249758306657895,0.28039365623836904,0.7698303514398296,0,101,296.4832302162947,239.22272194115376,2
53,0.21539050005958416,0.276412230416036,0.7614570077243056,0,103,296.4832302162947,256.976680487937,3
54,0.2183171250653686,0.27153601997288473,0.7512204673476339,0,105,296.4832302162947,256.976680487937,4
55,0.2213339580775937,0.2658247439325779,0.7391877500007052,0,107,296.4832302162947,264.84220216890736,5
56,0.22434662508021574,0.2593462036532607,0.7255545310835644,0,109,266.8349071946653,1.0,0
57,0.22744304107618518,0.25737909429324024,0.7213822555173057,0,111,266.8349071946653,218.73260837313438,1
58,0.23082162407808937,0.2544662699229199,0.7152362478233555,0,113,266.8349071946653,231.56935268635223,2
59,0.2335344160819659,0.25064820664697623,0.707155699832974,0,115,266.8349071946653,249.71800490909186,3
60,0.2365981240873225,0.2459758676340533,0.6972919409902358,0,117,266.8349071946653,249.71800490909186,4
61,0.23950562409299891,0.24050860309706235,0.685664747814294,0,119,240.15141647519874,1.0,0
62,0.24295820809493307,0.2385568840080871,0.681516828139753,0,121,240.15141647519874,204.3960025459999,1
63,0.2460990831023082,0.23566889821174425,0.6753784396706056,0,123,240.15141647519874,233.50138649494863,2
64,0.24919650009542238,0.23188714516475967,0.6673546317905756,0,125,240.15141647519874,238.06533183520645,3
65,0.25253866710409056,0.2272645040372144,0.6574900123059348,0,127,240.15141647519874,252.3971852804305,4
66,0.25588262609380763,0.2218637330435358,0.6462175599636483,0,129,216.13627482767887,1.0,0
67,0.2587160841067089,0.21993956143463092,0.6420867801309414,0,131,216.13627482767887,230.92929619324994,1
68,0.26156741711020004,0.2170957097036406,0.6368809990585874,0,133,216.13627482767887,230.92929619324994,2
69,0.26430179210728966,0.2133782413219814,0.6321193305920091,0,135,216.13627482767887,284.6660160175248,3
70,0.26705058410880156,0.20886137009565692,0.631073782235884,0,137,216.13627482767887,284.6660160175248,4
71,0.269941417107475,0.20368504183196745,0.7133360648807833,0,139,194.52264734491098,1.0,0
72,0.2729497921100119,0.20190173450789922,0.7711505837796742,0,141,194.52264734491098,74.58920068181347,1
73,0.2758794581022812,0.20022985024507572,1.0820859280099144,0,143,194.52264734491098,1028.637301637767,2
74,0.2773143750964664,0.20041810222639989,1.324189647174735,0,144,389.04529468982196,1.0,0
75,0.28007925010751933,0.19798744196071116,0.6217600791932721,0,146,389.04529468982196,340.8616282661899,1
76,0.2827922501019202,0.19661238926783395,0.5972507083567553,0,148,389.04529468982196,573.6565056931757,2
77,0.2854965831065783,0.19480428276767692,0.5899247992214377,0,150,389.04529468982196,573.6565056931757,3
78,0.2881951240997296,0.1925876178187061,0.5837153998173966,0,152,389.04529468982196,573.6565056931757,4
79,0.29085262410808355,0.18996834202330584,0.5774498663269746,0,154,350.1407652208398,1.0,0
80,0.2934807491110405,0.18901834030128778,0.5751220235941307,0,156,350.1407652208398,225.7452901368729,1
81,0.29617991611303296,0.1876052784303042,0.5720476025399678,0,158,350.1407652208398,225.7452901368729,2
82,0.2988325411133701,0.1857412120083197,0.567968968932232,0,160,350.1407652208398,235.71574316634943,3
83,0.30151374911656603,0.18344204523096572,0.5629547843241706,0,162,350.1407652208398,235.71574316634943,4
84,0.30415424912644085,0.18072658896081753,0.5570071510542215,0,164,350.1407652208398,242.43049399751553,5
85,0.3068317491270136,0.17761665670746254,0.5502067692131208,0,166,350.1407652208398,242.43049399751553,6
86,0.3094216241297545,0.1741362806979424,0.5425476148783743,0,168,315.1266886987558,1.0,0
87,0.31210454112442676,0.1732039555222461,0.5404961431154763,0,170,315.1266886987558,191.29302927884135,1
88,0.31494487411691807,0.17181731805437092,0.537443121811673,0,172,315.1266886987558,215.59198757311987,2
89,0.31761687411926687,0.16998925842589635,0.5334146582740225,0,174,315.1266886987558,223.89448788332345,3
90,0.32023849913093727,0.1677361185130382,0.5284382021663283,0,176,315.1266886987558,231.96246803113362,4
91,0.3228985821333481,0.1650774521244345,0.5225628222639684,0,178,315.1266886987558,233.5462422102297,5
92,0.32552695712365676,0.16203560414340523,0.5158094691271803,0,180,315.1266886987558,238.37348469630587,6
93,0.3281341651309049,0.1586355256429417,0.5082744948771579,0,182,283.6140198288802,1.0,0
94,0.33073816513933707,0.15772653451292398,0.5062356653034371,0,184,283.6140198288802,199.31119365205853,1
95,0.33341545713483356,0.156375273091421,0.5032487544739741,0,186,283.6140198288802,202.66579390391072,2
96,0.33603079013118986,0.15459494263805337,0.4993147294621653,0,188,283.6140198288802,230.68581777992426,3
97,0.3387122481217375,0.1524025199804757,0.49463853239576433,0,190,283.6140198288802,230.68581777992426,4
98,0.34136487312207464,0.14981796352089216,0.4893039437540667,0,192,283.6140198288802,250.4849512567114,5
99,0.3439981651172275,0.1468660493302188,0.4851120791176829,0,194,255.25261784599218,1.0,0
100,0.34701012312143575,0.14595826323427186,0.482990707287212,0,196,255.25261784599218,306.6289201656153,1
101,0.35012804011057597,0.1446186574017124,0.48445695971847563,0,198,255.25261784599218,306.6289201656153,2
102,0.3533527070976561,0.14287902392028481,0.4937284992424095,0,200,255.25261784599218,434.37800073601727,3
103,0.3566072490939405,0.14087305982921303,0.536120911147095,0,202,255.25261784599218,434.37800073601727,4
104,0.3594384151074337,0.1391837272886124,1.1672866068451384,0,204,229.72735606139295,1.0,0
105,0.36061558210349176,0.1391837272886124,1.1672866068451384,0,205,459.4547121227859,1.0,0
106,0.3633394571079407,0.13763299256410516,0.48154373218581054,0,207,459.4547121227859,512.2435639898824,1
107,0.3660503321152646,0.13693150455066871,0.46299309934331445,0,209,459.4547121227859,579.4854784273977,2
108,0.36873929110879544,0.13600784353974896,0.45841073235461144,0,211,459.4547121227859,579.4854784273977,3
109,0.3714552501187427,0.13487121946212977,0.45499035153485684,0,213,459.4547121227859,579.4854784273977,4
110,0.3742081661184784,0.13352173792925665,0.45164443527261205,0,215,459.4547121227859,579.4854784273977,5
111,0.37687420811562333,0.13196597018830683,0.44801681204875776,0,217,413.50924091050734,1.0,0
112,0.3795583751052618,0.1314811940888017,0.44688725804147,0,219,413.50924091050734,174.7376199835497,1
113,0.3822326250956394,0.13075810438658206,0.44522537820609026,0,221,413.50924091050734,206.19376026233402,2
114,0.3849016660969937,0.12980113414660496,0.44302403113884387,0,223,413.50924091050734,211.90359910051185,3
115,0.3876207081048051,0.128615967546992,0.4402933071374821,0,225,413.50924091050734,220.4457378724601,4
116,0.39028354111360386,0.12720947847529931,0.4370481664645283,0,227,413.50924091050734,222.52412797215774,5
117,0.3929475831100717,0.12558963473546436,0.4333012159196312,0,229,413.50924091050734,226.24111219303313,6
118,0.3956017081072787,0.12376543612393362,0.4290729240987592,0,231,413.50924091050734,227.10539690006445,7
119,0.39818420811207034,0.12174679534022245,0.4243782801066943,0,233,372.1583168194566,1.0,0
