iter,elapsed_time,obj,gradnorm,eval,grad
1,0.1005343750002794,2.313075037362692,0.13024143088416992,0,2
2,0.11601583400624804,2.2902872992661933,0.06436304091419669,0,4
4,0.2773764590092469,1.9512913890407615,0.27062092048754516,0,10
8,0.4853220410004724,1.1771360354062583,0.27940719282108784,0,18
16,0.8911588340124581,0.6031268331569181,0.15775209505824403,0,36
32,1.9441791249846574,0.3024509984939162,0.04872712314998417,0,72
64,3.749094041995704,0.15196477020169252,0.022776906932788974,0,143
128,6.550683167006355,0.023657478777123386,0.006889590731682417,0,281
256,18.820251875004033,0.00010033064339104968,7.402278860930415e-05,0,759
512,71.627064625005,1.3879177712437051e-08,2.0329891754880963e-08,0,2881
